objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
,,,,,,,,,,,,,,,,,,,,,,,,,
grete001,silvercitybaseball01.jpg,,Play Ball!,image/jpg,Baseball game in Silver City,,,1900,yes,,Sports,"Silver City, Idaho",43.0168,116.7332,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
grete002,silvercitychurch01.jpg,,Lady of Tears Catholic Church in Silver City,image/jpg,Current view of church,,,2020,yes,,Religion,"Silver City, Idaho",43.0168,116.7332,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
grete003,silvercitychurch02.jpg,,Lady of Tears Catholic Church in Silver City,image/jpg,Silver City church in 1960s,,,1965,yes,,Religion,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete004,silvercitychurch03.jpg,,Lady of Tears Catholic Church in Silver City,image/jpg,Interior of Lady of Tears ,,,1900,yes,,Religion,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete005,silvercitychurch05.jpg,,Lady of Tears Catholic Church in Silver City,image/jpg,Interior of Lady of Tears ,,,1980,yes,,Religion,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete006,silvercitycourthouse01.jpg,,Silver City Court House,image/jpg,Silver City Court House,,,1900,yes,,Government,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete007,silvercitycourthouse02.jpg,,Silver City Court House with freight train,image/jpg,Silver City Court House,,,1900,yes,,Government,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete008,silvercitycourthouse03.jpg,,Silver City Court House drilling contest 4th of July,image/jpg,Silver City Court House,,,1900,yes,,Government,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete009,silvercitydrugstore01.jpg,,tbd,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete010,silvercitydrugstore01.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete011,silvercitydrugstore02.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete012,silvercitygretehouse01.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete013,silvercitygretehouse02.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete014,silvercityheidleburger01.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete015,silvercityidahohotel01.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete016,silvercityidahohotel02.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete017,silvercityidahohotel03.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete018,silvercityidahohotel04.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete019,silvercityidahohotel05.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete020,silvercityidahohotel06.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete021,silvercityjordanstreet01.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete022,silvercityleslie01.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
grete023,silvercityleslie02.jpg,,,image/jpg,,,,,,,,"Silver City, Idaho",43.0168,116.7332,,,,,,,,,,,
